,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,WC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,72429793812,2017-01-01,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",37.8,24,35.5,24,1017.5,10,0.8,24,6.1,24,4.1,24,9.9,19.0,46.9, ,26.1, ,0.01,G,999.9,100000,34.680470355892254
1,1,1,1,1,1,1,1,1,1,1,1,1,1,72429793812,2017-01-02,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",47.0,24,45.7,24,1019.1,15,1.0,24,5.0,24,2.2,24,5.1,999.9,55.9, ,28.0, ,0.0,G,999.9,100000,9999.9
2,2,2,2,2,2,2,2,2,2,2,2,2,2,72429793812,2017-01-03,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",53.9,24,53.4,24,1007.8,10,989.4,24,5.1,24,2.5,24,11.1,17.1,57.9, ,43.0, ,0.53,G,999.9,110000,9999.9
3,3,3,3,3,3,3,3,3,3,3,3,3,3,72429793812,2017-01-04,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",35.0,24,26.4,24,1014.9,20,995.7,24,9.9,24,11.4,24,18.1,28.0,57.9, ,26.1, ,0.36,G,999.9,10000,26.808848712900776
4,4,4,4,4,4,4,4,4,4,4,4,4,4,72429793812,2017-01-05,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",22.2,24,15.7,24,1018.4,16,999.7,24,6.1,24,5.8,24,11.1,15.9,25.0,*,19.9,*,0.0,G,999.9,1000,14.748861828163854
5,5,5,5,5,5,5,5,5,5,5,5,5,5,72429793812,2017-01-06,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",13.6,24,4.9,24,1024.6,21,5.3,24,10.0,24,5.5,24,9.9,15.9,24.1, ,10.0, ,0.03,G,999.9,0,4.86893304165389
6,6,6,6,6,6,6,6,6,6,6,6,6,6,72429793812,2017-01-07,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",10.5,24,0.4,24,1033.5,24,14.3,24,10.0,24,7.0,24,11.1,999.9,16.0, ,6.1, ,0.0,G,999.9,0,-0.4140156367932235
7,7,7,7,7,7,7,7,7,7,7,7,7,7,72429793812,2017-01-08,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",15.9,24,5.8,24,1039.8,24,20.6,24,9.8,24,5.2,24,8.9,999.9,23.0, ,6.1, ,0.0,G,999.9,1000,7.929748208036862
8,8,8,8,8,8,8,8,8,8,8,8,8,8,72429793812,2017-01-09,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",23.7,24,12.3,24,1035.0,24,16.0,24,10.0,24,6.4,24,11.1,999.9,34.0, ,9.0, ,0.0,G,999.9,0,15.991852470360492
9,9,9,9,9,9,9,9,9,9,9,9,9,9,72429793812,2017-01-10,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",41.9,24,29.7,24,1018.7,23,0.4,24,10.0,24,13.5,24,22.9,31.1,52.0,*,33.1,*,0.0,G,999.9,10000,34.729217686118176
10,10,10,10,10,10,10,10,10,10,10,10,10,10,72429793812,2017-01-11,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",43.5,24,41.0,24,1017.4,14,998.9,24,7.2,24,7.0,24,28.0,34.0,59.0, ,25.0, ,0.13,G,999.9,110010,39.35590401120743
11,11,11,11,11,11,11,11,11,11,11,11,11,11,72429793812,2017-01-12,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",61.7,24,56.2,23,1014.2,21,996.7,24,9.7,24,15.5,24,22.9,32.1,66.9,*,46.9,*,0.51,G,999.9,10000,9999.9
12,12,12,12,12,12,12,12,12,12,12,12,12,12,72429793812,2017-01-13,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",37.1,24,31.0,24,1034.8,23,16.5,24,10.0,24,8.1,24,11.1,999.9,45.0,*,35.1,*,0.32,G,999.9,0,31.00135402458338
13,13,13,13,13,13,13,13,13,13,13,13,13,13,72429793812,2017-01-14,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",35.5,24,33.9,24,1033.1,18,14.5,24,6.3,24,3.6,24,8.0,999.9,37.9,*,33.8,*,0.05,G,999.9,10000,32.549733669229795
14,14,14,14,14,14,14,14,14,14,14,14,14,14,72429793812,2017-01-15,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",36.2,24,34.6,24,1030.5,17,11.7,24,4.5,24,4.3,24,7.0,999.9,39.0,*,33.8,*,0.27,G,999.9,10000,32.63445994417805
